observation_date,PCRUDEOIL,CRUDEOIL,FCRUDEOIL
10/13/2017,49.53767766,56.86,61.53767766
10/12/2017,49.29096775,56.13,61.29096775
10/11/2017,50.03556196,56.13,62.03556196
10/10/2017,48.77356347,56.62,60.77356347
10/9/2017,49.15907565,55.29,61.15907565
10/6/2017,50.38708075,55.5,62.38708075
10/5/2017,49.52736604,57.09,61.52736604
10/4/2017,49.26299468,56,61.26299468
10/3/2017,49.24252547,56.12,61.24252547
10/2/2017,50.00004864,55.67,62.00004864
9/29/2017,52.35244545,57.02,64.35244545
9/28/2017,51.84933683,58.8,63.84933683
9/27/2017,52.88805613,58.74,64.88805613
9/26/2017,52.09402915,59.77,64.09402915
9/25/2017,50.94740924,59.42,62.94740924
9/22/2017,50.87020417,58.16,62.87020417
9/21/2017,50.23247641,57.73,62.23247641
9/20/2017,49.70147672,57.2,61.70147672
9/19/2017,48.99021531,56.58,60.99021531
9/18/2017,49.45824012,55.5,61.45824012
9/15/2017,49.88556397,56.18,61.88556397
9/14/2017,48.67284513,56.76,60.67284513
9/13/2017,48.41519453,55.52,60.41519453
9/12/2017,47.71311431,55.06,59.71311431
9/11/2017,48.42670944,54.2,60.42670944
9/8/2017,47.68635733,54.55,59.68635733
9/7/2017,48.17986983,54.16,60.17986983
9/6/2017,47.31687234,54.48,59.31687234
9/5/2017,46.73089593,53.63,58.73089593
9/1/2017,46.47334173,53.15,58.47334173
8/31/2017,45.87521628,52.69,57.87521628
8/30/2017,45.7493213,51.91,57.7493213
8/29/2017,45.76322284,51.64,57.76322284
8/28/2017,45.63385255,51.87,57.63385255
8/25/2017,45.7869721,51.87,57.7869721
8/24/2017,46.00797219,51.73,58.00797219
8/23/2017,46.03472655,52.31,58.03472655
8/22/2017,45.47830577,52.29,57.47830577
8/21/2017,45.12732175,51.94,57.12732175
8/18/2017,44.27495733,50.96,56.27495733
8/17/2017,44.62889651,50.37,56.62889651
8/16/2017,43.76573887,50.39,55.76573887
8/15/2017,45.24428104,49.9,57.24428104
8/14/2017,45.59775065,51.29,57.59775065
8/11/2017,45.85065461,51.47,57.85065461
8/10/2017,46.00957589,52.59,58.00957589
8/9/2017,45.85738177,52.16,57.85738177
8/8/2017,45.38709654,52.18,57.38709654
8/7/2017,46.25273252,51.42,58.25273252
8/4/2017,46.83663769,52.48,58.83663769
8/3/2017,45.90614419,52.88,57.90614419
8/2/2017,44.96033178,52.09,56.96033178
8/1/2017,46.00609764,50.77,58.00609764
7/31/2017,45.95482895,51.99,57.95482895
7/28/2017,44.35584159,52,56.35584159
7/27/2017,44.07041255,50.67,56.07041255
7/26/2017,43.61675659,50.08,55.61675659
7/25/2017,42.24541786,49.19,54.24541786
7/24/2017,42.01770938,47.81,54.01770938
7/21/2017,42.60787444,47.47,54.60787444
7/20/2017,42.61950816,48.54,54.61950816
7/19/2017,42.13991379,48.34,54.13991379
7/18/2017,42.08130137,47.92,54.08130137
7/17/2017,42.13018673,47.66,54.13018673
7/14/2017,41.99932783,47.89,53.99932783
7/13/2017,41.56077146,47.65,53.56077146
7/12/2017,41.06013068,46.73,53.06013068
7/11/2017,40.96895509,46.68,52.96895509
7/10/2017,40.83691049,46.57,52.83691049
7/7/2017,43.24964797,46.47,55.24964797
7/6/2017,42.08569124,48.53,54.08569124
7/5/2017,43.3467167,47.58,55.3467167
7/3/2017,41.15989708,49.13,53.15989708
6/30/2017,41.41951017,47.08,53.41951017
6/29/2017,41.02516932,47.02,53.02516932
6/28/2017,40.62420186,46.45,52.62420186
6/27/2017,38.88713196,46.17,50.88713196
6/26/2017,38.90005093,44.09,50.90005093
6/23/2017,39.19534907,44.14,51.19534907
6/22/2017,39.00947587,44.46,51.00947587
6/21/2017,38.94516282,44.62,50.94516282
6/20/2017,40.39034262,43.98,52.39034262
6/19/2017,40.22274824,45.93,52.22274824
6/16/2017,40.30322304,45.7,52.30322304
6/15/2017,40.08540383,45.61,52.08540383
6/14/2017,41.50573451,45.47,53.50573451
6/13/2017,41.58545563,46.95,53.58545563
6/12/2017,41.0096599,47.18,53.0096599
6/9/2017,40.90158096,46.64,52.90158096
6/8/2017,41.49314104,46.3,53.49314104
6/7/2017,42.54139759,47.08,54.54139759
6/6/2017,42.67817675,48.11,54.67817675
6/5/2017,42.89108632,48.25,54.89108632
6/2/2017,44.49731347,48.46,56.49731347
6/1/2017,43.61217014,50.41,55.61217014
5/31/2017,44.58048336,49.4,56.58048336
5/30/2017,44.97136821,50.65,56.97136821
5/26/2017,46.08601576,50.84,58.08601576
5/25/2017,47.25859865,52.25,59.25859865
5/24/2017,47.05137496,53.29,59.05137496
5/23/2017,46.97273568,53.19,58.97273568
5/22/2017,46.32525937,53.35,58.32525937
5/19/2017,45.21576426,52.78,57.21576426
5/18/2017,45.75379616,51.71,57.75379616
5/17/2017,45.4278645,51.76,57.4278645
5/16/2017,45.25042868,51.21,57.25042868
5/15/2017,43.39294321,51.29,55.39294321
5/12/2017,43.12268722,49.08,55.12268722
5/11/2017,42.35137229,49.18,54.35137229
5/10/2017,41.09141764,48.09,53.09141764
5/9/2017,40.99781465,47.06,52.99781465
5/8/2017,42.10681348,46.61,54.10681348
5/5/2017,41.56338636,47.45,53.56338636
5/4/2017,42.94705185,47.53,54.94705185
5/3/2017,43.24537759,48.82,55.24537759
5/2/2017,44.23578656,49.31,56.23578656
5/1/2017,43.67257734,50.41,55.67257734
4/28/2017,43.43243378,49.46,55.43243378
4/27/2017,44.17350889,49.46,56.17350889
4/26/2017,43.30867006,49.99,55.30867006
4/25/2017,43.83885165,49.37,55.83885165
4/24/2017,43.85977959,49.45,55.85977959
4/21/2017,44.66395278,49.93,56.66395278
4/20/2017,46.13957231,50.66,58.13957231
4/19/2017,46.24634468,52.43,58.24634468
4/18/2017,48.01248292,52.6,60.01248292
4/17/2017,48.43791136,54.79,60.43791136
4/13/2017,48.1263252,55.05,60.1263252
4/12/2017,48.07659862,54.75,60.07659862
4/11/2017,48.11492873,54.73,60.11492873
4/10/2017,47.60416431,54.79,59.60416431
4/7/2017,47.1157761,54.24,59.1157761
4/6/2017,47.00893371,53.62,59.00893371
4/5/2017,46.93950431,53.41,58.93950431
4/4/2017,46.13786836,53.08,58.13786836
4/3/2017,45.74793495,52.04,57.74793495
3/31/2017,46.2120562,52.2,58.2120562
3/30/2017,45.22204125,52.25,57.22204125
3/29/2017,44.40182903,51.36,56.40182903
3/28/2017,44.27569882,50.72,56.27569882
3/27/2017,44.40670817,50.12,56.40670817
3/24/2017,44.14105467,49.97,56.14105467
3/23/2017,43.85333164,50.17,55.85333164
3/22/2017,44.07965546,49.56,56.07965546
3/21/2017,44.8898117,50.14,56.8898117
3/20/2017,44.8681385,50.67,56.8681385
3/17/2017,44.62064598,50.58,56.62064598
3/16/2017,44.44139635,50.56,56.44139635
3/15/2017,43.50696383,50.63,55.50696383
3/14/2017,44.54208971,49.6,56.54208971
3/13/2017,44.48045507,50.1,56.48045507
3/10/2017,44.47192211,50.63,56.47192211
3/9/2017,47.16152555,50.65,59.16152555
3/8/2017,47.79682413,53.3,59.79682413
3/7/2017,48.11836896,54.61,60.11836896
3/6/2017,47.57070409,54.73,59.57070409
3/3/2017,47.86743257,54.12,59.86743257
3/2/2017,48.85296244,54.16,60.85296244
3/1/2017,47.07077129,55.72,59.07077129
2/28/2017,48.34735159,53.36,60.34735159
2/27/2017,48.3000854,54.65,60.3000854
2/24/2017,49.2433078,54.69,61.2433078
2/23/2017,48.58682252,55.82,60.58682252
2/22/2017,49.67059048,54.9,61.67059048
2/21/2017,48.14123984,56.34,60.14123984
2/17/2017,47.79428481,54.48,59.79428481
